cytoband	22q13.32	9p21.3	8p23.2	1p36.11	11q25	1p36.32	8p21.1	13q14.2	11q23.3	2q37.3	6q16.2	19p13.3	13q11	15q14	10q23.31	12q23.1	11q12.2	1p22.1	9p23	3p22.1	6q25.3	10q25.1	11p15.5	22q12.3	13q12.12	17q25.1	6q22.1	14q24.2	15q13.1	19q13.32	11q13.1	15q24.2	17q21.2	9p22.3	4q35.2	6q23.3	12p11.22	
q value	3.7381e-06	1.6047e-05	2.3154e-05	1.3526e-06	2.7596e-05	1.9025e-06	0.0040914	0.0040882	9.0458e-05	0.0077203	0.0062004	0.01103	0.0028724	0.0010835	0.015432	0.036236	0.0094273	0.062224	0.077272	0.092372	0.067277	0.036236	0.15523	0.088821	0.026396	0.16851	0.11901	0.17843	0.0051942	0.17262	0.036474	0.1842	0.19846	0.20227	0.24533	0.18874	0.25504	
residual q value	4.4887e-06	1.8603e-05	2.345e-05	2.7103e-05	0.0014345	0.0022269	0.0040914	0.0040914	0.0045438	0.0077203	0.0084464	0.011645	0.016432	0.019575	0.034442	0.034726	0.041651	0.062224	0.07333	0.09189	0.09189	0.11474	0.15523	0.15523	0.16586	0.16586	0.17703	0.17703	0.17703	0.17703	0.19321	0.19321	0.19993	0.2245	0.24343	0.24343	0.24625	
wide peak boundaries	chr22:48272949-48780733	chr9:21555228-22448738	chr8:2166023-6404670	chr1:25419577-25960071	chr11:133844778-135086622	chr1:1-48183817	chr8:27991975-28319570	chr13:33965855-59779246	chr11:99552405-130320725	chr2:232169786-242193529	chr6:72215158-113652193	chr19:970775-3363202	chr13:1-19009522	chr15:30988094-44290687	chr10:85593973-100526765	chr12:82682953-133275309	chr11:50101779-61301885	chr1:81512556-115926769	chr9:7799607-10619051	chr3:17154445-87279214	chr6:138158106-170805979	chr10:89592540-133797422	chr11:1-534241	chr22:36022233-36320268	chr13:1-38350733	chr17:67742711-83257441	chr6:102069225-128884476	chr14:58114361-107043718	chr15:1-71120373	chr19:39709275-49436873	chr11:12160914-69500286	chr15:55825978-101991189	chr17:21774058-46764264	chr9:14718857-15006535	chr4:1-190214555	chr6:1-170805979	chr12:1-133275309	
genes in wide peak	FAM19A5	CDKN2A	CSMD1	STMN1	IGSF9B	hsa-mir-551a	ELP3	ATP7B	ACAT1	AGXT	hsa-mir-2113	AES	FAM230C	ACTC1	ACTA2	ACACB	APLNR	ABCA4	PTPRD	ACAA1	ACAT2	hsa-mir-3158-1	PSMD13	APOL1	PARP4	AANAT	AIM1	hsa-mir-1185-2	ACTC1	hsa-mir-220c	ACP2	ADAM10	ACACA	CER1	hsa-mir-1979	hsa-mir-2113	hsa-mir-616	
	LOC284933	CDKN2B	LOC101927815	LDLRAP1	NCAPD3	AK2	NUGGC	RCBTB2	ACRV1	ALPI	AIM1	AMH	ANKRD20A9P	BUB1B	FAS	ACADS	SERPING1	ADORA3	PTPRD-AS1	ACVR2B	CCR6	ACADSB	RNH1	APOL2	ALOX5AP	ACOX1	AMD1	SERPINA3	ADAM10	AKT2	ACTN3	ACAN	ASIC2	FREM1	ADD1	ABCF1	hsa-mir-1244-3	
	MIR3201	MTAP		TMEM57	ACAD8	ALPL		CPB2	BIRC2	ALPP	AMD1	ATP5D	LINC00408	CAPN3	BMPR1A	ALDH2	CD5	AGL	LOC105375972	ACY1	ESR1	ADAM8	IFITM1	APOL4	ATP12A	ACTG1	PRDM1	ACTN1	ANXA2	APOC1	GRK2	ALDH1A3	ACLY		ADH1A	ACAT2	A2M	
	MIR4535	CDKN2A-AS1		MTFR1L	B3GAT1	RERE		ELF1	BIRC3	ALPPL2	BCKDHB	CIRBP	LINC00417	CHRM5	ENTPD1	APAF1	CD6	ALX3		ALAS1	FUCA2	ADD3	IFITM3	APOL3	BRCA2	BIRC5	COL10A1	ACYP1	APBA2	APOC1P1	APLNR	ANPEP	AP2B1		ADH1B	CRISP1	A2MP1	
		CDKN2B-AS1		MAN1C1	THYN1	ATP6V0B		ESD	APLP2	KIF1A	PRDM1	CNN2		CHRNA7	CHUK	ARL1	MS4A1	AMPD1		AMT	GPR31	ADRA2A	IFITM2	MIR6819	CDK8	ARHGDIA	FABP7	AKT1	AQP9	APOC2	ALDH3B1	ANXA2	ALDOC		ADH1C	AGER	ACACB	
				SEPN1	JAM3	ADGRB2		FOXO1	APOA1	BOK	CCNC	CSNK1G2		CKMT1B	ABCC2	ASCL1	MS4A3	AMPD2		APEH	GRM1	ADRB1	PKP3		CDX2	CD7	FOXO3	ARG2	B2M	APOC4	ALDH3B2	AQP9	AOC2		ADH4	AIF1	ACADS	
				AUNIP	GLB1L2	BMP8B		MLNR	APOA4	CHRND	CGA	EFNA2		EPB42	COX15	ATP2A2	CNTF	AMY1A		ARF4	HIVEP2	ARL3	SIRT3		FGF9	CDK3	FRK	BDKRB1	NBEAP1	APOE	ARHGAP1	BBS4	ARL4D		ADH5	AIM1	ASIC1	
				PAQR7	VPS26B	C1QA		GTF2F2	APOC3	CHRNG	CNR1	GAMT		GANC	CPN1	ATP2B1	CTNND1	AMY1B		RHOA	IGF2R	BNIP3	BET1L		FLT1	CSNK1D	FYN	BDKRB2	BNIP2	ATP1A3	ARL2	BCL2A1	ATP6V0A1		ADH6	AMD1	ACVR1B	
				LOC646471	GLB1L3	C1QB		GUCY1B2	ARCN1	COL6A3	COL12A1	GNA11		GCHFR	CYP2C19	BCL7A	MS4A2	AMY1C		ERC2-IT1	KIF25	CASP7	SIGIRR		FLT3	SLC25A10	GJA1	ZFP36L1	BUB1B	AXL	ARNTL	BLM	BLMH		ADH7	ARG1	ACVRL1	
				MIR3917	MIR4697HG	C1QC		HTR2A	ATM	DTYMK	COX7A2	GNA15		PDIA3	CYP2C8	BTG1	GIF	AMY2A		CACNA1D	LPA	ENTPD1	RIC8A		GJA3	EVPL	GPR6	CALM1	CA12	BAX	BAD	BNC1	BRCA1		ADRA2C	ATP6V1G2	ADCY6	
					LOC283177	CA6		KPNA3	FXYD2	GBX2	EEF1A1	GNG7		ITPKA	CYP2C9	SCARB1	OSBP	AMY2B		SLC25A20	MAS1	CHUK	PGGHG		GJB2	BPTF	HDAC2	SERPINA6	CAPN3	BCAT2	BBS1	BNIP2	FMNL1		AFM	ADGRB3	ALDH2	
					LOC100128239	CAPZB		LCP1	CXCR5	GPC1	EPHA7	MKNK2		IVD	CYP2C18	CMKLR1	P2RX3	RHOC		CAMP	MAP3K4	ABCC2	PTDSS2		GPR12	FASN	HSF2	ENTPD5	CHRM5	BCKDHA	BDNF	CA12	CACNB1		AFP	BAK1	ABCD2	
