Unique Name	Descriptor	Wide Peak Limits	Peak Limits	Region Limits	q values	Residual q values after removing segments shared with higher peaks	Broad or Focal	Amplitude Threshold	TCGA-A2-A4S1	TCGA-AO-A125	TCGA-AC-A3W5	TCGA-LQ-A4E4	TCGA-A7-A425	TCGA-EW-A1J6	TCGA-E2-A105	TCGA-GM-A5PX	TCGA-LL-A5YM	TCGA-E2-A14W	TCGA-A7-A56D	TCGA-E2-A576	TCGA-OL-A5D6	TCGA-D8-A4Z1	TCGA-OL-A66P	TCGA-LL-A6FP	TCGA-E2-A1LE	TCGA-OL-A66K	TCGA-UL-AAZ6	TCGA-E2-A14S	TCGA-W8-A86G	TCGA-BH-A0DS	TCGA-B6-A40B	TCGA-BH-A42U	TCGA-AC-A3W6	TCGA-AC-A3YJ	TCGA-OL-A66L	TCGA-E2-A2P5	TCGA-E9-A3Q9	TCGA-E9-A5FL	TCGA-AN-A03Y	TCGA-OL-A5D7	TCGA-BH-A0EE	TCGA-E2-A2P6	TCGA-AC-A3TN	TCGA-E2-A14O	TCGA-AO-A1KQ	TCGA-AC-A8OP	TCGA-E2-A572	TCGA-A2-A0CO	TCGA-C8-A131	TCGA-OL-A97C	TCGA-E2-A1IF	TCGA-BH-A42T	TCGA-GM-A2D9	TCGA-V7-A7HQ	TCGA-A2-A04N	TCGA-LL-A6FQ	TCGA-OL-A66J	TCGA-PE-A5DC	TCGA-AC-A3W7	TCGA-LD-A9QF	TCGA-BH-A0E6	TCGA-AC-A62Y	TCGA-S3-AA12	TCGA-AC-A3YI	TCGA-OL-A66H	TCGA-B6-A0I1	TCGA-AC-A3QP	TCGA-LD-A74U	TCGA-AO-A1KP	TCGA-LL-A9Q3	TCGA-S3-AA11	TCGA-XX-A89A	TCGA-A7-A3IY	TCGA-B6-A0IO	TCGA-E9-A54X	TCGA-E2-A14U	TCGA-LL-A7T0	TCGA-E2-A1B4	TCGA-GM-A3NY	TCGA-LL-A50Y	TCGA-D8-A73U	TCGA-AO-A0J3	TCGA-GM-A4E0	TCGA-A8-A09M	TCGA-AC-A5XS	TCGA-AC-A8OS	TCGA-EW-A423	TCGA-OL-A5S0	TCGA-E2-A9RU	TCGA-WT-AB44	TCGA-E2-A56Z	TCGA-BH-A8FY	
Amplification Peak  1	1p34.2  	chr1:40937185-42219062(probes 20405:21247)      	chr1:41369390-41572783(probes 20630:20769)      	chr1:41369390-41576077(probes 20630:20772)      	0.23605	    0.23605		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
Amplification Peak  2	1q21.2  	chr1:119984739-151437025(probes 68819:69357)  	chr1:150131879-150522686(probes 68921:69013)  	chr1:119984773-155529465(probes 68820:71509)  	0.040883	   0.045099		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	2	1	0	2	1	0	2	1	0	1	0	0	0	0	2	0	2	1	0	2	2	1	0	1	1	1	1	1	1	2	1	1	2	1	1	1	1	0	1	1	1	2	1	2	0	0	1	0	0	1	0	2	1	0	1	0	2	0	1	1	2	1	0	0	1	0	0	0	0	2	2	1	1	1	0	1	0	2	1	1	2	1	1	
Amplification Peak  3	1q24.2  	chr1:160517746-176085009(probes 74525:85051)  	chr1:168926276-169012925(probes 80720:80796)  	chr1:168041983-169788074(probes 80027:81376)  	0.066365	   0.073736		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	2	1	1	2	0	0	2	2	2	1	0	0	0	0	2	2	2	1	0	2	2	1	0	1	2	1	2	1	1	2	2	1	2	1	1	1	1	1	1	1	1	2	1	2	0	0	1	0	0	1	0	1	1	0	1	0	2	0	1	1	2	1	0	0	1	0	0	0	0	2	2	1	2	1	1	1	0	2	1	1	2	0	2	
Amplification Peak  4	7p13    	chr7:44072031-44103245(probes 702480:702490)    	chr7:44078935-44102543(probes 702481:702489)    	chr7:44078935-44147941(probes 702481:702512)    	0.1275	     0.1275		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	1	2	1	0	1	2	0	0	1	1	2	0	0	0	1	1	2	1	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	1	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	1	1	1	1	1	1	0	
Amplification Peak  5	8p11.23 	chr8:37230583-38114423(probes 781830:782243)    	chr8:37230733-37321975(probes 781831:781900)    	chr8:34496294-46552442(probes 780493:785100)    	6.8468e-10	 1.5629e-06		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	1	0	0	0	0	1	2	0	0	0	1	1	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	2	0	0	0	2	0	2	2	0	0	1	0	2	2	0	0	0	0	1	0	2	0	0	0	0	2	0	1	0	0	0	0	2	0	2	0	
Amplification Peak  6	8p11.22 	chr8:39551068-39620261(probes 782845:782882)    	chr8:39552476-39617690(probes 782846:782881)    	chr8:34496294-46552442(probes 780493:785100)    	4.8051e-08	  0.0064277		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	1	0	0	0	0	1	2	0	1	0	1	2	0	1	0	0	0	0	0	2	1	2	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	1	0	2	0	2	0	0	0	2	0	0	2	0	2	1	0	2	2	0	0	0	0	1	1	0	0	0	0	0	2	0	1	0	0	0	0	2	0	0	0	
Amplification Peak  7	8p11.21 	chr8:41192171-46549322(probes 784000:785098)    	chr8:42574795-42681911(probes 784883:784935)    	chr8:34496294-46552442(probes 780493:785100)    	0.0080375	   0.077985		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	1	0	0	0	0	1	0	0	1	0	0	2	0	1	0	0	0	0	0	2	1	2	0	0	0	0	0	1	0	0	2	1	0	0	0	1	1	0	0	1	0	0	0	1	1	2	2	0	1	0	0	0	2	0	0	2	0	2	1	0	2	2	0	1	0	0	1	1	0	0	0	0	0	2	0	1	0	0	0	0	2	0	1	0	
Amplification Peak  8	8q13.1  	chr8:66522927-66562711(probes 796573:796590)    	chr8:66523280-66558479(probes 796574:796589)    	chr8:66523280-66573483(probes 796574:796592)    	0.21962	    0.21962		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	1	0	0	0	0	1	2	0	0	1	0	2	0	0	1	0	0	0	1	2	1	2	0	0	0	0	0	2	0	1	2	2	0	0	0	1	1	1	1	1	2	0	0	1	0	2	2	0	0	0	0	0	0	0	2	1	0	2	1	0	0	1	0	0	0	0	1	1	1	0	0	0	0	1	0	1	0	0	0	2	1	0	1	0	
Amplification Peak  9	8q22.3  	chr8:103010006-103273109(probes 817543:817741)	chr8:103018573-103126495(probes 817544:817642)	chr8:102884635-103602777(probes 817474:817918)	0.10798	    0.20362		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	1	0	1	0	0	1	2	0	2	1	0	2	0	1	1	0	1	0	1	2	1	2	0	0	0	0	0	2	0	1	2	2	1	0	0	1	2	1	0	1	2	0	0	1	0	2	2	0	0	2	0	0	0	0	2	1	0	2	0	0	2	1	0	0	0	0	1	1	2	0	0	0	0	1	0	2	0	0	0	2	2	0	1	0	
Amplification Peak 10	8q24.21 	chr8:127612374-127780549(probes 832386:832527)	chr8:127728723-127750915(probes 832504:832509)	chr8:105783725-133173278(probes 819197:836349)	8.1736e-05	 0.00013674		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	1	0	1	0	0	1	2	0	2	1	0	2	0	1	1	0	2	0	1	2	1	2	1	0	0	0	0	2	0	2	2	2	1	0	0	1	2	1	0	1	2	0	0	0	0	2	2	0	0	2	0	0	0	0	2	1	0	2	1	0	2	1	0	0	0	0	1	1	2	0	0	0	0	1	0	2	0	0	0	2	2	0	1	0	
Amplification Peak 11	10p14   	chr10:8934696-9108058(probes 917935:918069)      	chr10:8981663-9101912(probes 917976:918066)      	chr10:8936097-9122720(probes 917936:918082)      	0.14493	    0.14493		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	0	2	0	0	1	0	1	1	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	1	0	0	0	2	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1	2	2	0	0	0	
Amplification Peak 12	11q12.2 	chr11:61260252-61803909(probes 1027831:1028060)	chr11:61262512-61397807(probes 1027832:1027883)	chr11:61262512-61556450(probes 1027832:1027957)	0.17456	    0.19614		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	
Amplification Peak 13	11q13.2 	chr11:66801473-66828025(probes 1029823:1029833)	chr11:66803125-66827588(probes 1029824:1029832)	chr11:66073602-72125260(probes 1029548:1032264)	0.0012739	      0.136		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	1	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	2	0	0	0	0	0	0	1	0	0	1	0	2	1	0	0	
Amplification Peak 14	11q13.3 	chr11:69472726-69754649(probes 1030875:1031043)	chr11:69598493-69688160(probes 1030960:1030999)	chr11:66073602-72125260(probes 1029548:1032264)	3.5383e-24	 6.1492e-23		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	1	0	2	1	2	0	0	1	0	1	0	0	0	0	0	0	2	2	0	0	2	1	0	0	0	1	0	1	2	1	0	2	0	2	0	0	2	0	1	0	0	2	1	0	0	2	2	2	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	2	0	0	0	0	2	0	1	0	0	2	0	2	1	2	0	
Amplification Peak 15	11q13.4 	chr11:72664283-72892318(probes 1032512:1032601)	chr11:72666571-72706739(probes 1032513:1032529)	chr11:72127490-79595296(probes 1032268:1036491)	1.1164e-06	  0.0013965		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	2	1	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	2	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	2	0	1	0	
Amplification Peak 16	11q13.4 	chr11:75388591-75509016(probes 1033921:1033988)	chr11:75392445-75464847(probes 1033922:1033963)	chr11:72127490-79595296(probes 1032268:1036491)	1.3906e-05	   0.043632		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	1	0	0	2	2	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	2	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	2	0	1	0	
Amplification Peak 17	11q14.1 	chr11:77613150-77931155(probes 1035122:1035268)	chr11:77681828-77929800(probes 1035157:1035267)	chr11:72127490-79595296(probes 1032268:1036491)	1.2821e-05	  0.0080375		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	2	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	1	
Amplification Peak 18	11q14.1 	chr11:80904624-81443098(probes 1037455:1037824)	chr11:81217767-81440858(probes 1037686:1037823)	chr11:81032187-81446306(probes 1037547:1037826)	0.14493	    0.21633		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	
Amplification Peak 19	12q14.1 	chr12:57592942-57783508(probes 1102346:1102431)	chr12:57714587-57779682(probes 1102394:1102430)	chr12:57593427-57796938(probes 1102347:1102433)	0.14959	    0.14959		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	1	0	1	1	0	0	0	2	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	
Amplification Peak 20	14q12   	chr14:31718705-33651253(probes 1210933:1212461)	chr14:32489774-32658819(probes 1211447:1211572)	chr14:32074904-32757465(probes 1211163:1211645)	0.17691	    0.17691		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	2	1	1	0	
Amplification Peak 21	17q11.2 	chr17:28874043-29688371(probes 1353004:1353384)	chr17:29591524-29604993(probes 1353349:1353351)	chr17:27430464-29907635(probes 1352327:1353474)	0.0060332	   0.012022		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	1	0	0	1	1	0	1	0	2	1	0	0	1	0	2	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	
Amplification Peak 22	17q12   	chr17:39532847-39549842(probes 1357711:1357720)	chr17:39533256-39547963(probes 1357712:1357719)	chr17:39186595-40475060(probes 1357574:1358134)	1.1432e-07	 1.9207e-07		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	2	0	0	1	1	0	1	1	2	1	0	0	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	2	0	0	1	0	
Amplification Peak 23	17q21.33	chr17:49523721-50011325(probes 1361937:1362145)	chr17:49525278-49552920(probes 1361938:1361944)	chr17:49307055-50503153(probes 1361803:1362426)	0.071242	   0.071242		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	0	1	2	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	2	0	2	0	0	1	0	1	0	1	0	
Amplification Peak 24	17q23.1 	chr17:59215466-60419776(probes 1367762:1368309)	chr17:59430243-59723026(probes 1367876:1368014)	chr17:56841480-62938847(probes 1366392:1369539)	0.00080183	  0.0023738		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	1	0	1	2	0	1	2	2	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0	2	0	0	1	0	0	0	1	0	
